index,job_id,experiment,dataset,distribution,method,seed,status
26,a1_headline__mnist__iid__lfighter__s19__0f6c7d84abdf,A1_headline,MNIST,IID,lfighter,19,pending
27,a1_headline__mnist__iid__lfighter__s31__d4d02865d7b4,A1_headline,MNIST,IID,lfighter,31,pending
28,a1_headline__mnist__iid__fltrust__s7__ce8373bf3d95,A1_headline,MNIST,IID,fltrust,7,pending
29,a1_headline__mnist__iid__fltrust__s19__2448d5515971,A1_headline,MNIST,IID,fltrust,19,pending
30,a1_headline__mnist__iid__fltrust__s31__41326cdb4dbf,A1_headline,MNIST,IID,fltrust,31,pending
31,a1_headline__mnist__non_iid__antiflipper__s7__b780d8e320a3,A1_headline,MNIST,NON_IID,antiflipper,7,pending
32,a1_headline__mnist__non_iid__antiflipper__s19__7b368cb8fc20,A1_headline,MNIST,NON_IID,antiflipper,19,pending
33,a1_headline__mnist__non_iid__antiflipper__s31__51a3f51039ff,A1_headline,MNIST,NON_IID,antiflipper,31,pending
34,a1_headline__mnist__non_iid__fedavg__s7__8e4c5691d51c,A1_headline,MNIST,NON_IID,fedavg,7,pending
35,a1_headline__mnist__non_iid__fedavg__s19__375867ea17e8,A1_headline,MNIST,NON_IID,fedavg,19,pending
36,a1_headline__mnist__non_iid__fedavg__s31__16aa6553349d,A1_headline,MNIST,NON_IID,fedavg,31,pending
37,a1_headline__mnist__non_iid__median__s7__f035700902e2,A1_headline,MNIST,NON_IID,median,7,pending
38,a1_headline__mnist__non_iid__median__s19__3be2a137ef66,A1_headline,MNIST,NON_IID,median,19,pending
39,a1_headline__mnist__non_iid__median__s31__26d1adef1cee,A1_headline,MNIST,NON_IID,median,31,pending
40,a1_headline__mnist__non_iid__trimmed_mean__s7__a3f7a32f015f,A1_headline,MNIST,NON_IID,trimmed_mean,7,pending
41,a1_headline__mnist__non_iid__trimmed_mean__s19__7463df137300,A1_headline,MNIST,NON_IID,trimmed_mean,19,pending
42,a1_headline__mnist__non_iid__trimmed_mean__s31__207dc1959b1e,A1_headline,MNIST,NON_IID,trimmed_mean,31,pending
43,a1_headline__mnist__non_iid__foolsgold__s7__2e4405ecdaeb,A1_headline,MNIST,NON_IID,foolsgold,7,pending
44,a1_headline__mnist__non_iid__foolsgold__s19__9024ac113665,A1_headline,MNIST,NON_IID,foolsgold,19,pending
45,a1_headline__mnist__non_iid__foolsgold__s31__0799a62a75a0,A1_headline,MNIST,NON_IID,foolsgold,31,pending
46,a1_headline__mnist__non_iid__tolpegin__s7__4fbde573ff42,A1_headline,MNIST,NON_IID,tolpegin,7,pending
47,a1_headline__mnist__non_iid__tolpegin__s19__4f2f2ae0ea6e,A1_headline,MNIST,NON_IID,tolpegin,19,pending
48,a1_headline__mnist__non_iid__tolpegin__s31__35df03456dff,A1_headline,MNIST,NON_IID,tolpegin,31,pending
49,a1_headline__mnist__non_iid__multi_krum__s7__88136ca426a5,A1_headline,MNIST,NON_IID,multi_krum,7,pending
50,a1_headline__mnist__non_iid__multi_krum__s19__bd7f34cb8601,A1_headline,MNIST,NON_IID,multi_krum,19,pending
51,a1_headline__mnist__non_iid__multi_krum__s31__210eabe8a82e,A1_headline,MNIST,NON_IID,multi_krum,31,pending
52,a1_headline__mnist__non_iid__flame__s7__0d28d7cdc468,A1_headline,MNIST,NON_IID,flame,7,pending
53,a1_headline__mnist__non_iid__flame__s19__b83b431e8dcb,A1_headline,MNIST,NON_IID,flame,19,pending
54,a1_headline__mnist__non_iid__flame__s31__3aa311e14e06,A1_headline,MNIST,NON_IID,flame,31,pending
55,a1_headline__mnist__non_iid__lfighter__s7__4f7906bf8551,A1_headline,MNIST,NON_IID,lfighter,7,pending
56,a1_headline__mnist__non_iid__lfighter__s19__0416bc94a430,A1_headline,MNIST,NON_IID,lfighter,19,pending
57,a1_headline__mnist__non_iid__lfighter__s31__b36d050bf6be,A1_headline,MNIST,NON_IID,lfighter,31,pending
58,a1_headline__mnist__non_iid__fltrust__s7__ccbb3f425f94,A1_headline,MNIST,NON_IID,fltrust,7,pending
59,a1_headline__mnist__non_iid__fltrust__s19__b06553125455,A1_headline,MNIST,NON_IID,fltrust,19,pending
60,a1_headline__mnist__non_iid__fltrust__s31__4a3dd112e1c9,A1_headline,MNIST,NON_IID,fltrust,31,pending
61,a1_headline__cifar10__iid__antiflipper__s7__211d1fdf3b8a,A1_headline,CIFAR10,IID,antiflipper,7,pending
62,a1_headline__cifar10__iid__antiflipper__s19__4a4e1abe0f2d,A1_headline,CIFAR10,IID,antiflipper,19,pending
63,a1_headline__cifar10__iid__antiflipper__s31__831be5cc7260,A1_headline,CIFAR10,IID,antiflipper,31,pending
64,a1_headline__cifar10__iid__fedavg__s7__91a1159523f9,A1_headline,CIFAR10,IID,fedavg,7,pending
65,a1_headline__cifar10__iid__fedavg__s19__d16a4c24546b,A1_headline,CIFAR10,IID,fedavg,19,pending
66,a1_headline__cifar10__iid__fedavg__s31__a26529f83a47,A1_headline,CIFAR10,IID,fedavg,31,pending
67,a1_headline__cifar10__iid__median__s7__237bef7897e6,A1_headline,CIFAR10,IID,median,7,pending
68,a1_headline__cifar10__iid__median__s19__1e9f2a88b76c,A1_headline,CIFAR10,IID,median,19,pending
69,a1_headline__cifar10__iid__median__s31__4151af459da3,A1_headline,CIFAR10,IID,median,31,pending
70,a1_headline__cifar10__iid__trimmed_mean__s7__fa7a8e0e0297,A1_headline,CIFAR10,IID,trimmed_mean,7,pending
71,a1_headline__cifar10__iid__trimmed_mean__s19__b166beb405f0,A1_headline,CIFAR10,IID,trimmed_mean,19,pending
72,a1_headline__cifar10__iid__trimmed_mean__s31__93cfdef99de8,A1_headline,CIFAR10,IID,trimmed_mean,31,pending
73,a1_headline__cifar10__iid__foolsgold__s7__5b1a80546fe0,A1_headline,CIFAR10,IID,foolsgold,7,pending
74,a1_headline__cifar10__iid__foolsgold__s19__57e9c5adfe75,A1_headline,CIFAR10,IID,foolsgold,19,pending
75,a1_headline__cifar10__iid__foolsgold__s31__b2bd4293b2a3,A1_headline,CIFAR10,IID,foolsgold,31,pending
76,a1_headline__cifar10__iid__tolpegin__s7__7d8530aead22,A1_headline,CIFAR10,IID,tolpegin,7,pending
77,a1_headline__cifar10__iid__tolpegin__s19__1aab734c56ba,A1_headline,CIFAR10,IID,tolpegin,19,pending
78,a1_headline__cifar10__iid__tolpegin__s31__6078ed5e1c72,A1_headline,CIFAR10,IID,tolpegin,31,pending
79,a1_headline__cifar10__iid__multi_krum__s7__28e5405edb9f,A1_headline,CIFAR10,IID,multi_krum,7,pending
80,a1_headline__cifar10__iid__multi_krum__s19__4b255f8041bb,A1_headline,CIFAR10,IID,multi_krum,19,pending
81,a1_headline__cifar10__iid__multi_krum__s31__9666edfd49f4,A1_headline,CIFAR10,IID,multi_krum,31,pending
82,a1_headline__cifar10__iid__flame__s7__8194362a3bfe,A1_headline,CIFAR10,IID,flame,7,pending
83,a1_headline__cifar10__iid__flame__s19__c98e1596480a,A1_headline,CIFAR10,IID,flame,19,pending
84,a1_headline__cifar10__iid__flame__s31__8a4a4c3c5c65,A1_headline,CIFAR10,IID,flame,31,pending
85,a1_headline__cifar10__iid__lfighter__s7__8b36b8a0d9a2,A1_headline,CIFAR10,IID,lfighter,7,pending
86,a1_headline__cifar10__iid__lfighter__s19__508fc36650b1,A1_headline,CIFAR10,IID,lfighter,19,pending
87,a1_headline__cifar10__iid__lfighter__s31__e16353f6ad4a,A1_headline,CIFAR10,IID,lfighter,31,pending
88,a1_headline__cifar10__iid__fltrust__s7__fa746d388bfa,A1_headline,CIFAR10,IID,fltrust,7,pending
89,a1_headline__cifar10__iid__fltrust__s19__1b55a51fdaa5,A1_headline,CIFAR10,IID,fltrust,19,pending
90,a1_headline__cifar10__iid__fltrust__s31__cf3b3b40ff81,A1_headline,CIFAR10,IID,fltrust,31,pending
91,a1_headline__cifar10__non_iid__antiflipper__s7__ab04b7aadd73,A1_headline,CIFAR10,NON_IID,antiflipper,7,pending
92,a1_headline__cifar10__non_iid__antiflipper__s19__4d178e1a65ae,A1_headline,CIFAR10,NON_IID,antiflipper,19,pending
93,a1_headline__cifar10__non_iid__antiflipper__s31__01713e2a6401,A1_headline,CIFAR10,NON_IID,antiflipper,31,pending
94,a1_headline__cifar10__non_iid__fedavg__s7__8c95aa0ecb03,A1_headline,CIFAR10,NON_IID,fedavg,7,pending
95,a1_headline__cifar10__non_iid__fedavg__s19__4247cbb4fd27,A1_headline,CIFAR10,NON_IID,fedavg,19,pending
96,a1_headline__cifar10__non_iid__fedavg__s31__4daa80c1b269,A1_headline,CIFAR10,NON_IID,fedavg,31,pending
97,a1_headline__cifar10__non_iid__median__s7__4f6a8cd22da4,A1_headline,CIFAR10,NON_IID,median,7,pending
98,a1_headline__cifar10__non_iid__median__s19__ba7a023d42f2,A1_headline,CIFAR10,NON_IID,median,19,pending
99,a1_headline__cifar10__non_iid__median__s31__5539df3b53c7,A1_headline,CIFAR10,NON_IID,median,31,pending
100,a1_headline__cifar10__non_iid__trimmed_mean__s7__d142caf37d8b,A1_headline,CIFAR10,NON_IID,trimmed_mean,7,pending
101,a1_headline__cifar10__non_iid__trimmed_mean__s19__30f6debefdb5,A1_headline,CIFAR10,NON_IID,trimmed_mean,19,pending
102,a1_headline__cifar10__non_iid__trimmed_mean__s31__a5048c4c3bce,A1_headline,CIFAR10,NON_IID,trimmed_mean,31,pending
103,a1_headline__cifar10__non_iid__foolsgold__s7__857484ca0255,A1_headline,CIFAR10,NON_IID,foolsgold,7,pending
104,a1_headline__cifar10__non_iid__foolsgold__s19__9d25eaf3fdd1,A1_headline,CIFAR10,NON_IID,foolsgold,19,pending
105,a1_headline__cifar10__non_iid__foolsgold__s31__e48df7c97a26,A1_headline,CIFAR10,NON_IID,foolsgold,31,pending
106,a1_headline__cifar10__non_iid__tolpegin__s7__4daa21a79ddb,A1_headline,CIFAR10,NON_IID,tolpegin,7,pending
107,a1_headline__cifar10__non_iid__tolpegin__s19__18f439411437,A1_headline,CIFAR10,NON_IID,tolpegin,19,pending
108,a1_headline__cifar10__non_iid__tolpegin__s31__318e10a0ccd6,A1_headline,CIFAR10,NON_IID,tolpegin,31,pending
109,a1_headline__cifar10__non_iid__multi_krum__s7__24670b186816,A1_headline,CIFAR10,NON_IID,multi_krum,7,pending
110,a1_headline__cifar10__non_iid__multi_krum__s19__ac34b318c779,A1_headline,CIFAR10,NON_IID,multi_krum,19,pending
111,a1_headline__cifar10__non_iid__multi_krum__s31__83938796943b,A1_headline,CIFAR10,NON_IID,multi_krum,31,pending
112,a1_headline__cifar10__non_iid__flame__s7__23f04254de42,A1_headline,CIFAR10,NON_IID,flame,7,pending
113,a1_headline__cifar10__non_iid__flame__s19__abc3071a5b9d,A1_headline,CIFAR10,NON_IID,flame,19,pending
114,a1_headline__cifar10__non_iid__flame__s31__ad5f467e84de,A1_headline,CIFAR10,NON_IID,flame,31,pending
115,a1_headline__cifar10__non_iid__lfighter__s7__a2c4215adbf0,A1_headline,CIFAR10,NON_IID,lfighter,7,pending
116,a1_headline__cifar10__non_iid__lfighter__s19__714f352f4934,A1_headline,CIFAR10,NON_IID,lfighter,19,pending
117,a1_headline__cifar10__non_iid__lfighter__s31__6e870e034345,A1_headline,CIFAR10,NON_IID,lfighter,31,pending
118,a1_headline__cifar10__non_iid__fltrust__s7__42f9ed99a7d4,A1_headline,CIFAR10,NON_IID,fltrust,7,pending
119,a1_headline__cifar10__non_iid__fltrust__s19__bae05f5e1027,A1_headline,CIFAR10,NON_IID,fltrust,19,pending
120,a1_headline__cifar10__non_iid__fltrust__s31__2fca97034c6b,A1_headline,CIFAR10,NON_IID,fltrust,31,pending
121,a2_clean_heterogeneity__mnist__iid__antiflipper__s7__404a44d71aab,A2_clean_heterogeneity,MNIST,IID,antiflipper,7,pending
122,a2_clean_heterogeneity__mnist__non_iid__antiflipper__s7__67a271a7322f,A2_clean_heterogeneity,MNIST,NON_IID,antiflipper,7,pending
123,a2_clean_heterogeneity__mnist__non_iid__antiflipper__s7__d1c06762989f,A2_clean_heterogeneity,MNIST,NON_IID,antiflipper,7,pending
124,a2_clean_heterogeneity__mnist__non_iid__antiflipper__s7__f57e8246527f,A2_clean_heterogeneity,MNIST,NON_IID,antiflipper,7,pending
125,a2_clean_heterogeneity__mnist__iid__antiflipper__s19__6c0eb8b57a35,A2_clean_heterogeneity,MNIST,IID,antiflipper,19,pending
126,a2_clean_heterogeneity__mnist__non_iid__antiflipper__s19__65ffb06176ed,A2_clean_heterogeneity,MNIST,NON_IID,antiflipper,19,pending
127,a2_clean_heterogeneity__mnist__non_iid__antiflipper__s19__6c325a6d0175,A2_clean_heterogeneity,MNIST,NON_IID,antiflipper,19,pending
128,a2_clean_heterogeneity__mnist__non_iid__antiflipper__s19__f0fc960b72bb,A2_clean_heterogeneity,MNIST,NON_IID,antiflipper,19,pending
129,a2_clean_heterogeneity__mnist__iid__antiflipper__s31__11dab4add65c,A2_clean_heterogeneity,MNIST,IID,antiflipper,31,pending
130,a2_clean_heterogeneity__mnist__non_iid__antiflipper__s31__278a7b0ef16f,A2_clean_heterogeneity,MNIST,NON_IID,antiflipper,31,pending
131,a2_clean_heterogeneity__mnist__non_iid__antiflipper__s31__6d3c0490b768,A2_clean_heterogeneity,MNIST,NON_IID,antiflipper,31,pending
132,a2_clean_heterogeneity__mnist__non_iid__antiflipper__s31__8ec1c5f1b138,A2_clean_heterogeneity,MNIST,NON_IID,antiflipper,31,pending
133,a2_clean_heterogeneity__cifar10__iid__antiflipper__s7__be871b6b2810,A2_clean_heterogeneity,CIFAR10,IID,antiflipper,7,pending
134,a2_clean_heterogeneity__cifar10__non_iid__antiflipper__s7__ec32da98c145,A2_clean_heterogeneity,CIFAR10,NON_IID,antiflipper,7,pending
135,a2_clean_heterogeneity__cifar10__non_iid__antiflipper__s7__d2bd4ba83e80,A2_clean_heterogeneity,CIFAR10,NON_IID,antiflipper,7,pending
136,a2_clean_heterogeneity__cifar10__non_iid__antiflipper__s7__085c750a5a77,A2_clean_heterogeneity,CIFAR10,NON_IID,antiflipper,7,pending
137,a2_clean_heterogeneity__cifar10__iid__antiflipper__s19__ce5a7b882c68,A2_clean_heterogeneity,CIFAR10,IID,antiflipper,19,pending
138,a2_clean_heterogeneity__cifar10__non_iid__antiflipper__s19__76cc0b164ba2,A2_clean_heterogeneity,CIFAR10,NON_IID,antiflipper,19,pending
139,a2_clean_heterogeneity__cifar10__non_iid__antiflipper__s19__f19efedbd77b,A2_clean_heterogeneity,CIFAR10,NON_IID,antiflipper,19,pending
140,a2_clean_heterogeneity__cifar10__non_iid__antiflipper__s19__b3044d9c07d3,A2_clean_heterogeneity,CIFAR10,NON_IID,antiflipper,19,pending
141,a2_clean_heterogeneity__cifar10__iid__antiflipper__s31__56432ef759cc,A2_clean_heterogeneity,CIFAR10,IID,antiflipper,31,pending
142,a2_clean_heterogeneity__cifar10__non_iid__antiflipper__s31__09d53b4455b5,A2_clean_heterogeneity,CIFAR10,NON_IID,antiflipper,31,pending
143,a2_clean_heterogeneity__cifar10__non_iid__antiflipper__s31__ddaaf8d22de6,A2_clean_heterogeneity,CIFAR10,NON_IID,antiflipper,31,pending
144,a2_clean_heterogeneity__cifar10__non_iid__antiflipper__s31__413fedbf2978,A2_clean_heterogeneity,CIFAR10,NON_IID,antiflipper,31,pending
145,a3_malicious_ratio__cifar10__non_iid__antiflipper__s7__56355062724e,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,7,pending
146,a3_malicious_ratio__cifar10__non_iid__antiflipper__s19__b6285c3bc897,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,19,pending
147,a3_malicious_ratio__cifar10__non_iid__antiflipper__s31__4e984a01d410,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,31,pending
148,a3_malicious_ratio__cifar10__non_iid__antiflipper__s7__b01840e61456,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,7,pending
149,a3_malicious_ratio__cifar10__non_iid__antiflipper__s19__52417c78140d,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,19,pending
150,a3_malicious_ratio__cifar10__non_iid__antiflipper__s31__f0e006e13ea4,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,31,pending
151,a3_malicious_ratio__cifar10__non_iid__antiflipper__s7__19f86bbd1877,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,7,pending
152,a3_malicious_ratio__cifar10__non_iid__antiflipper__s19__732e4d7d15ab,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,19,pending
153,a3_malicious_ratio__cifar10__non_iid__antiflipper__s31__ee51f93051f1,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,31,pending
154,a3_malicious_ratio__cifar10__non_iid__antiflipper__s7__90721bcc1d20,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,7,pending
155,a3_malicious_ratio__cifar10__non_iid__antiflipper__s19__3aa2dbacf8b7,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,19,pending
156,a3_malicious_ratio__cifar10__non_iid__antiflipper__s31__5eee5097d53d,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,31,pending
157,a3_malicious_ratio__cifar10__non_iid__antiflipper__s7__d2ceec3cc85c,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,7,pending
158,a3_malicious_ratio__cifar10__non_iid__antiflipper__s19__e465ac4d601b,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,19,pending
159,a3_malicious_ratio__cifar10__non_iid__antiflipper__s31__573c993fba5d,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,31,pending
160,a3_malicious_ratio__cifar10__non_iid__antiflipper__s7__ed3face68ebd,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,7,pending
161,a3_malicious_ratio__cifar10__non_iid__antiflipper__s19__e56dca33d8ca,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,19,pending
162,a3_malicious_ratio__cifar10__non_iid__antiflipper__s31__2452d5bfbc30,A3_malicious_ratio,CIFAR10,NON_IID,antiflipper,31,pending
163,a3_malicious_ratio__cifar10__non_iid__fedavg__s7__9fe84c933edd,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,7,pending
164,a3_malicious_ratio__cifar10__non_iid__fedavg__s19__45fa5f0473fc,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,19,pending
165,a3_malicious_ratio__cifar10__non_iid__fedavg__s31__07c4797f6f43,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,31,pending
166,a3_malicious_ratio__cifar10__non_iid__fedavg__s7__b0a871c87764,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,7,pending
167,a3_malicious_ratio__cifar10__non_iid__fedavg__s19__9c710ae12ad8,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,19,pending
168,a3_malicious_ratio__cifar10__non_iid__fedavg__s31__2bcc4826b7d9,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,31,pending
169,a3_malicious_ratio__cifar10__non_iid__fedavg__s7__39c5723ac6e5,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,7,pending
170,a3_malicious_ratio__cifar10__non_iid__fedavg__s19__ad7896701660,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,19,pending
171,a3_malicious_ratio__cifar10__non_iid__fedavg__s31__7021aa37d4ee,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,31,pending
172,a3_malicious_ratio__cifar10__non_iid__fedavg__s7__a13024a170a2,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,7,pending
173,a3_malicious_ratio__cifar10__non_iid__fedavg__s19__1e9b725b53b0,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,19,pending
174,a3_malicious_ratio__cifar10__non_iid__fedavg__s31__8eb7975dd913,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,31,pending
175,a3_malicious_ratio__cifar10__non_iid__fedavg__s7__4cdc9248f19a,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,7,pending
176,a3_malicious_ratio__cifar10__non_iid__fedavg__s19__2a33bc391848,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,19,pending
177,a3_malicious_ratio__cifar10__non_iid__fedavg__s31__db1d5f00337a,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,31,pending
178,a3_malicious_ratio__cifar10__non_iid__fedavg__s7__a86cc8ab1552,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,7,pending
179,a3_malicious_ratio__cifar10__non_iid__fedavg__s19__9fe0ff5e453f,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,19,pending
180,a3_malicious_ratio__cifar10__non_iid__fedavg__s31__45e1daae1f8d,A3_malicious_ratio,CIFAR10,NON_IID,fedavg,31,pending
181,a3_malicious_ratio__cifar10__non_iid__lfighter__s7__c4bc227d1451,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,7,pending
182,a3_malicious_ratio__cifar10__non_iid__lfighter__s19__8a70ca063c9a,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,19,pending
183,a3_malicious_ratio__cifar10__non_iid__lfighter__s31__7d0dab6fc5e4,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,31,pending
184,a3_malicious_ratio__cifar10__non_iid__lfighter__s7__d7f826bdfbef,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,7,pending
185,a3_malicious_ratio__cifar10__non_iid__lfighter__s19__736dc0466b51,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,19,pending
186,a3_malicious_ratio__cifar10__non_iid__lfighter__s31__f7b3a4d85ec9,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,31,pending
187,a3_malicious_ratio__cifar10__non_iid__lfighter__s7__6aeef10a79f7,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,7,pending
188,a3_malicious_ratio__cifar10__non_iid__lfighter__s19__33e58101968f,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,19,pending
189,a3_malicious_ratio__cifar10__non_iid__lfighter__s31__d1f222fb1e0f,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,31,pending
190,a3_malicious_ratio__cifar10__non_iid__lfighter__s7__442f464fafb2,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,7,pending
191,a3_malicious_ratio__cifar10__non_iid__lfighter__s19__746b62f19d57,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,19,pending
192,a3_malicious_ratio__cifar10__non_iid__lfighter__s31__30b849ebadcd,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,31,pending
193,a3_malicious_ratio__cifar10__non_iid__lfighter__s7__00c023595980,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,7,pending
194,a3_malicious_ratio__cifar10__non_iid__lfighter__s19__3abefe571e87,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,19,pending
195,a3_malicious_ratio__cifar10__non_iid__lfighter__s31__7328020409a2,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,31,pending
196,a3_malicious_ratio__cifar10__non_iid__lfighter__s7__c3ce2db0ad9d,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,7,pending
197,a3_malicious_ratio__cifar10__non_iid__lfighter__s19__606fd78f422e,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,19,pending
198,a3_malicious_ratio__cifar10__non_iid__lfighter__s31__12a91fc1e805,A3_malicious_ratio,CIFAR10,NON_IID,lfighter,31,pending
199,a3_malicious_ratio__cifar10__non_iid__fltrust__s7__a09fdfbd58f6,A3_malicious_ratio,CIFAR10,NON_IID,fltrust,7,pending
200,a3_malicious_ratio__cifar10__non_iid__fltrust__s19__f62fda5c4a41,A3_malicious_ratio,CIFAR10,NON_IID,fltrust,19,pending
201,a3_malicious_ratio__cifar10__non_iid__fltrust__s31__aed556cff385,A3_malicious_ratio,CIFAR10,NON_IID,fltrust,31,pending
202,a3_malicious_ratio__cifar10__non_iid__fltrust__s7__c2ba725c2bfb,A3_malicious_ratio,CIFAR10,NON_IID,fltrust,7,pending
203,a3_malicious_ratio__cifar10__non_iid__fltrust__s19__d6a144772b2b,A3_malicious_ratio,CIFAR10,NON_IID,fltrust,19,pending
204,a3_malicious_ratio__cifar10__non_iid__fltrust__s31__257ed6f83135,A3_malicious_ratio,CIFAR10,NON_IID,fltrust,31,pending
205,a3_malicious_ratio__cifar10__non_iid__fltrust__s7__01b580ce4392,A3_malicious_ratio,CIFAR10,NON_IID,fltrust,7,pending
206,a3_malicious_ratio__cifar10__non_iid__fltrust__s19__fdfdc7d4c334,A3_malicious_ratio,CIFAR10,NON_IID,fltrust,19,pending
207,a3_malicious_ratio__cifar10__non_iid__fltrust__s31__ac466698e361,A3_malicious_ratio,CIFAR10,NON_IID,fltrust,31,pending
208,a3_malicious_ratio__cifar10__non_iid__fltrust__s7__c4c44d9d4361,A3_malicious_ratio,CIFAR10,NON_IID,fltrust,7,pending
